,Title,Published_date,Views,Likes,Comments,Video_length,Month
70,Smartphone Awards 2022!,2022-12-27,5131628,212505,11015,1211.0,Dec
71,The Voice Assistant Battle! (2023),2022-12-24,2650663,126013,6194,681.0,Dec
72,100X Zoom in Phones Leveled Up This Year!,2022-12-23,4709632,271634,1779,53.0,Dec
73,The Best Smartphone Camera 2022!,2022-12-21,3621460,194231,10318,863.0,Dec
74,Tesla Self Driving vs Everyday Roads!,2022-12-14,4558699,154662,11889,1398.0,Dec
75,3 iPhone Super Useful Hidden Features!,2022-12-13,3258827,211967,1242,60.0,Dec
76,"The Truth About AI Getting ""Creative""",2022-12-09,2954332,126695,8579,910.0,Dec
77,When Apple Gets It Wrong,2022-12-05,8344070,529464,6193,59.0,Dec
78,My Tech Hot Takes!,2022-12-04,2698009,133233,8631,814.0,Dec
79,Remember the Cybertruck?,2022-11-21,4242850,188949,5495,60.0,Nov
80,"iPad Pro M2: What Does ""Pro"" Even Mean?",2022-11-18,2909020,101473,3864,549.0,Nov
81,Google Hits Back at iMessage!,2022-11-14,10773201,661781,12064,59.0,Nov
82,Lucid Air: How to One-up Tesla!,2022-11-11,5284001,152732,7785,803.0,Nov
83,Dear Twitter!,2022-11-08,4621744,195814,12847,870.0,Nov
84,The iPhone USB-C Law: Explained!,2022-11-02,6518158,215007,17859,557.0,Nov
85,Who Cares About the Metaverse?,2022-10-28,8816498,258409,21977,951.0,Oct
86,The New iPad is Weird!,2022-10-25,7518257,203139,10034,496.0,Oct
87,iPhone’s Crash Detection vs Roller Coasters,2022-10-21,4091295,334790,2547,60.0,Oct
88,Pixel Watch Review: First Gen Fumbles!,2022-10-15,3146335,94970,4590,747.0,Oct
89,Meta Quest Pro’s Passthrough mode 👀,2022-10-14,1722144,95345,1508,33.0,Oct
90,Google Pixel 7/Pro Review: Hard Problems? Software Answers!,2022-10-12,4320397,145160,6441,822.0,Oct
91,The Apple Watch Stand Hours Glitch...,2022-10-10,8014633,559104,1812,60.0,Oct
92,Pixel 7/Pro and Watch Impressions!,2022-10-07,4659056,166484,6432,723.0,Oct
93,Twitter’s Edit Button is Real! (FINALLY),2022-10-06,2542382,182226,1062,61.0,Oct
94,iPhone 14 Plus & The Problem with Benchmarks!,2022-10-06,3005668,103793,3741,537.0,Oct
95,Smart Home Tech I ACTUALLY Use!,2022-10-03,3070593,114632,3725,578.0,Oct
96,Dope Tech: The Hottest Laptop Design!,2022-09-30,1840742,69406,1822,735.0,Sep
97,Samsung Swelling Phones: Explained,2022-09-29,5201175,326860,4925,59.0,Sep
98,AirPods Pro 2 Review: 1 Underrated Thing!,2022-09-27,5891232,200806,6863,677.0,Sep
99,AirPods Pro 2 vs Magnet Paper 👀,2022-09-26,1475381,68790,524,50.0,Sep
100,Apple Watch Ultra Review: Worth It Or Nah?,2022-09-21,7258182,185213,8561,917.0,Sep
101,World's First Intel ARC PC Build! (A770),2022-09-19,3034114,137422,6556,1015.0,Sep
102,iPhone 14 Review: Repackaging 101!,2022-09-16,5375784,151756,9076,807.0,Sep
103,iPhone 14 Pro Review: This Will Be Copied!,2022-09-14,12108710,343817,18890,1341.0,Sep
104,The State of Foldables 2022: Samsung vs The World!,2022-09-12,2713001,97808,5265,696.0,Sep
105,The Ultimate Pocket Camera: Insta360 X3!,2022-09-09,2592377,95329,2732,479.0,Sep
106,Apple Watch Ultra Impressions: Polished Overkill!,2022-09-08,5102513,158725,6796,691.0,Sep
107,iPhone 14/Pro Impressions: Welcome to Dynamic Island!,2022-09-08,8477204,301603,18469,807.0,Sep
108,Google Pixel Buds Pro Review: Just Get These!,2022-08-30,3224476,119631,3971,595.0,Aug
109,The Hyundai IONIQ 5: I Get It Now!,2022-08-25,2978457,106923,4525,574.0,Aug
110,Android 13 Hands-On: Top 5 Features!,2022-08-16,3906075,158042,5799,481.0,Aug
111,Dope Tech: The Most Extreme Gaming Monitor!,2022-08-15,4274627,155838,4441,765.0,Aug
112,Samsung Z Fold 4/ Flip 4 Impressions + Watch 5 Pro!,2022-08-10,4195192,143747,5994,584.0,Aug
113,Best Back to School Tech 2022!,2022-08-08,2666765,117305,5415,563.0,Aug
114,OnePlus 10T Impressions: Somebody That You Used to Know,2022-08-03,2209610,82466,5782,546.0,Aug
115,Asus Zenfone 9: The New Compact King!,2022-08-01,3799851,141956,7612,654.0,Aug
116,The iPad's Odd New Feature,2022-07-28,2761895,98561,6415,517.0,Jul
117,Google Pixel 6A Review: Can You Feel It?,2022-07-21,3869866,118775,6593,571.0,Jul
118,M2 MacBook Air Review: More Than a Refresh!,2022-07-18,6097653,165698,6305,706.0,Jul
119,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,6303109,199135,7582,853.0,Jul
120,iOS 16 Hands-On: Top 5 New Features!,2022-07-11,10246429,322945,10191,649.0,Jul
121,The World's Largest Smartphone Camera! Xiaomi 12S Ultra,2022-07-08,3300661,121905,4573,748.0,Jul
122,ROG Phone 6 Pro Review: Daily Driver Material!,2022-07-05,2666435,109171,4660,550.0,Jul
123,Reviewing MKBHD Videos!,2022-07-02,2129998,107723,3769,1131.0,Jul
124,M2 MacBook Pro: Why Does This Exist?,2022-06-29,2790804,104558,4780,465.0,Jun
