,Title,Published_date,Views,Likes,Comments,Video_length,Month
295,Can You Actually Game in 8K? (RTX 3090 Gameplay!),2020-09-23,11020895,328396,26646,981.0,Sep
296,Porsche Taycan Turbo: I Almost Switched!  [Auto Focus Ep 6],2020-09-22,4575047,160521,14544,935.0,Sep
297,Xbox Series X/S Design Impressions!,2020-09-18,2419915,113096,9286,469.0,Sep
298,Apple Watch Series 6: Everything New! (Product RED),2020-09-17,5338936,160208,8678,489.0,Sep
299,Talking Tech and The Metaverse with Mark Zuckerberg!,2020-09-16,3734610,201018,16285,1178.0,Sep
300,Galaxy Z Fold 2 Review: Folding King... But For What?,2020-09-12,2819437,99860,8396,645.0,Sep
301,"Surface Duo Review: The Good, The Bad & The Ugly!",2020-09-10,2894923,102519,7885,884.0,Sep
302,Moto RAZR 2 Impressions: Nostalgia Reloaded?,2020-09-09,2629375,99162,5450,564.0,Sep
303,Samsung Galaxy Z Fold 2 Unboxing: 3 Major Upgrades!,2020-09-03,3478524,137828,8875,607.0,Sep
304,Surface Duo Unboxing & Impressions: Hinge Goals!,2020-08-26,3041542,120997,9314,524.0,Aug
305,Samsung Galaxy Nope 20!,2020-08-26,3576306,131364,13369,761.0,Aug
306,6K RED Komodo Impressions: The Mini Cine Camera!,2020-08-21,1892406,77915,5154,724.0,Aug
307,Galaxy Note 20 Ultra Review: It Better Be Good!,2020-08-18,5016801,158472,13458,813.0,Aug
308,Dope Tech: The iPad Pro Killer?!,2020-08-17,7944854,261091,12853,693.0,Aug
309,Sony WH-1000XM4 Review: The Final Form!,2020-08-13,5671894,189862,10071,458.0,Aug
310,Dope Tech: Boston Dynamics Robot Dog!,2020-08-11,6532773,243188,15716,910.0,Aug
311,The Last Intel Mac VS The Osborne Effect!,2020-08-06,1718139,67850,4158,606.0,Aug
312,Samsung Galaxy Note 20 Ultra Impressions: Ultra Premium!,2020-08-05,3597618,135331,15754,627.0,Aug
313,Google Pixel 4a Review: Simple and Clean!,2020-08-03,5872404,196299,13004,572.0,Aug
314,The TRUTH About OnePlus Nord!,2020-07-27,4421475,154199,9598,620.0,Jul
315,Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5],2020-07-25,3746447,130903,6371,669.0,Jul
316,Asus ROG Phone 3 Review: The Spec King Returns!,2020-07-22,3531042,120005,9030,717.0,Jul
317,OnePlus Nord Impressions: Back to Budget!,2020-07-21,2784400,123334,9345,576.0,Jul
318,Dope Tech: The Biggest Ultrawide Monitor!,2020-07-18,4343379,156372,5687,639.0,Jul
319,OnePlus Nord Reveal! How Much Do Smartphones Actually Cost?,2020-07-14,3905105,171701,12643,1138.0,Jul
320,Can You Trust MKBHD?,2020-07-09,4222724,254254,18545,832.0,Jul
321,iPhone 12: What to Expect!,2020-07-07,5052241,162525,11503,614.0,Jul
322,On the iPhone With No Charger...,2020-07-01,4488250,193902,34500,685.0,Jul
323,Apple Responds to Your Comments!,2020-06-26,6503282,256927,17368,1148.0,Jun
324,iOS 14 Hands-On: Everything New!,2020-06-23,10467354,320499,25008,692.0,Jun
325,WWDC 2020 Impressions: Widgets and The Great Transition!,2020-06-23,4773493,210668,20523,932.0,Jun
326,Samsung Galaxy Buds Plus: The Go-To!,2020-06-19,3202656,121781,7477,423.0,Jun
327,PS5 Impressions: My Thoughts!,2020-06-17,5712422,216808,17293,647.0,Jun
328,The Largest Daily Driver Unboxing!,2020-06-16,2594645,115553,12490,408.0,Jun
329,Top 5 Android 11 Features: Big Tweaks!,2020-06-16,3915913,142712,8188,541.0,Jun
330,CyberTruck Phone Impressions... Ridiculous,2020-06-11,3723126,140230,8209,448.0,Jun
331,Dope Tech:  The $3500 Bluetooth Speaker!,2020-06-09,5880923,172752,5348,529.0,Jun
332,Reflecting on the Color of My Skin,2020-06-04,7293571,683304,50681,627.0,Jun
333,Escobar Responds! A PSA,2020-05-29,7181149,281882,14565,779.0,May
334,Poco F2 Pro: The Full Screen Deal!,2020-05-26,4192311,120909,8211,626.0,May
335,How Teslas Upgrade Over Time!,2020-05-23,3710979,156934,5536,673.0,May
336,Surface Headphones 2: Matte Black Everything!,2020-05-19,2044491,80634,4336,542.0,May
337,The Budget Phone Blueprint!,2020-05-15,2418953,91460,9392,618.0,May
338,The Fastest Phone of 2020!,2020-05-13,4260607,126865,7493,667.0,May
339,The $700 Mac Pro Wheels: Explained!,2020-05-09,7372710,239826,22395,557.0,May
340,"The 2020 13"" MacBook Pro Impressions: Wait a Minute!",2020-05-07,4633247,114662,7519,542.0,May
341,Google Pixel Buds Review: WAY Better!,2020-05-05,4273620,143452,8651,624.0,May
342,iPhone 11 Pro Review: 6 Months Later!,2020-05-02,4262790,131763,8329,574.0,May
343,Moto Edge+ Review: We Need to Talk!,2020-04-30,4098523,122013,9451,790.0,Apr
344,"World's ""FASTEST"" Gaming PC!",2020-04-27,3429967,145623,8624,483.0,Apr
345,iPhone SE (2020) Review: It All Adds Up!,2020-04-22,9813561,301209,26354,604.0,Apr
346,Apple Magic Keyboard: Floating iPad Pro?,2020-04-20,7382312,193822,10784,554.0,Apr
347,iPhone SE (2020) Honest Thoughts...,2020-04-17,4300939,161846,17525,532.0,Apr
348,OnePlus 8 Review: Special No More!,2020-04-16,3498047,100979,6873,622.0,Apr
349,OnePlus 8 Pro Review: Finally a Flagship!,2020-04-14,6563421,182966,14986,939.0,Apr
350,Last Video in this Studio!,2020-04-06,1588070,97494,6209,572.0,Apr
351,What's On My Phone: 2020!,2020-03-28,3957722,122323,7659,503.0,Mar
352,Huawei P40 Pro Impressions: What We Should Copy!,2020-03-26,3751163,97188,7677,665.0,Mar
353,2020 MacBook Air Impressions: A Clean Refresh!,2020-03-20,5809652,175460,6434,393.0,Mar
354,The Rollable Smartphone?,2020-03-17,2828623,96776,7584,807.0,Mar
355,Samsung Galaxy S20 Review: All the Right Moves!,2020-03-14,4385603,104792,7581,680.0,Mar
356,The Truth About the Escobar Folding Phone!,2020-03-10,8770646,351528,17843,768.0,Mar
357,Oppo Find X2 Pro: One-Upping the Champ?,2020-03-06,3081691,88872,5170,531.0,Mar
358,Samsung Galaxy S20 Ultra Review: Attack of the Numbers!,2020-03-03,7222832,147498,11286,1100.0,Mar
359,Xiaomi Mi Mix Alpha Impressions: The Wraparound Display!,2020-02-28,16656691,408310,23242,664.0,Feb
360,The 2020 Mac Pro: A Silent Killer!,2020-02-25,4351539,128683,7983,665.0,Feb
361,MKBHD Studio 2020 Build: Part 1!,2020-02-23,2259705,100769,5829,556.0,Feb
362,Galaxy Z Flip vs Moto RAZR 2020: 10 Differences!,2020-02-21,3124272,68445,3919,661.0,Feb
363,Samsung Galaxy Z Flip Unboxing: It's Growing on Me!,2020-02-19,4503558,108139,5664,413.0,Feb
364,Talking Tech and 2020 with Bill Gates!,2020-02-14,3672680,153756,8303,724.0,Feb
365,Samsung Galaxy Z Flip Impressions: Mixed Feelings!,2020-02-12,5928683,170136,10313,451.0,Feb
366,Samsung Galaxy S20 Ultra Impressions: 108 Megapixels!,2020-02-11,7426876,173735,14644,470.0,Feb
367,"Galaxy S20 Impressions: New Year, New Samsung!",2020-02-11,6298001,157565,9697,585.0,Feb
368,Foldable Moto RAZR Unboxing & Second Thoughts!,2020-02-10,2458652,76456,5996,436.0,Feb
369,Are we at Peak Smartphone?,2020-01-31,2546048,96534,7386,461.0,Jan
370,YouTube Diamond Play Button Review!,2020-01-25,5534763,221400,8843,315.0,Jan
371,Why Everyone is Copying AirPods: Explained!,2020-01-15,7164554,220033,11706,501.0,Jan
372,The MKBHD Setup Tour 2020!,2020-01-13,4327223,131156,6792,713.0,Jan
373,Dope Tech of CES 2020: Sony Made a Car?!,2020-01-09,2174850,75005,3315,588.0,Jan
374,OnePlus Concept One Phone: Disappearing Cameras?,2020-01-07,2569269,84412,3364,292.0,Jan
375,Most Overrated Tech? 8K Ask MKBHD 2020!,2020-01-06,2176038,96891,4736,765.0,Jan
376,The Banned Huawei Mate 30 Pro: Best Phone You Shouldn't Buy!,2020-01-03,4004152,99735,6659,570.0,Jan
377,2020 Tech I'm Ready For!,2019-12-31,2833583,102781,5237,679.0,Dec
378,The Most Expensive iPhone in the World!,2019-12-27,3900840,149552,11182,594.0,Dec
379,Smartphone Awards 2019!,2019-12-24,7124153,225254,22530,1516.0,Dec
380,Would a Walkman work in space?,2019-12-23,270193,8336,688,185.0,Dec
381,Dope Tech: The World's Largest 8K OLED!,2019-12-21,3716044,104484,4116,630.0,Dec
382,"10,000,000!",2019-12-18,2977219,312110,20044,167.0,Dec
383,The Blind Smartphone Camera Test 2019!,2019-12-17,2572339,116137,12907,711.0,Dec
384,Console Wars!,2019-12-16,480299,12393,1282,251.0,Dec
385,Apple Pro Display XDR: A Grand Stand?!,2019-12-13,4701840,126330,7884,723.0,Dec
386,Mac Pro Unboxing & Second Impressions: The Power is Back!,2019-12-10,5002573,167737,14767,693.0,Dec
387,A look inside the original Macintosh,2019-12-09,454396,12722,527,144.0,Dec
388,Testing Real 5G: Part 2!,2019-12-05,2967035,91888,8180,677.0,Dec
389,Favorite Tech of the Year Rewind Collab!,2019-12-04,1729989,89900,5317,732.0,Dec
390,RETRO TECH: DYNATAC,2019-12-02,0,0,2116,1417.0,Dec
391,RETRO TECH: POLAROID,2019-12-02,0,0,2138,1483.0,Dec
392,RETRO TECH: WALKMAN,2019-12-02,0,0,4727,1480.0,Dec
393,RETRO TECH: SEGA GENESIS,2019-12-02,0,0,7312,1423.0,Dec
394,RETRO TECH: MACINTOSH,2019-12-02,0,0,9446,1565.0,Dec
395,Analog vs. Digital Cameras,2019-12-02,385964,11109,285,190.0,Dec
396,RETRO TECH: CAMCORDER,2019-12-02,9238345,144296,6379,1375.0,Dec
397,"16"" MacBook Pro Review: Now Do It Again!",2019-11-28,3371669,89862,4906,641.0,Nov
398,RETRO TECH: OFFICIAL TRAILER,2019-11-25,2586191,117924,5084,111.0,Nov
399,Why I Ordered a Tesla CyberTruck!,2019-11-24,8639188,283020,25642,466.0,Nov
400,Tesla CyberTruck Impressions & First Drive!,2019-11-22,10468540,225660,34845,512.0,Nov
401,The 108-Megapixel Smartphone Camera?!,2019-11-19,3291775,94809,6536,631.0,Nov
402,2020 Moto RAZR Impressions! The Return of a Folding Icon!,2019-11-14,7668488,173770,15967,535.0,Nov
403,"16"" Macbook Pro First Impressions!",2019-11-13,3245750,98979,5135,427.0,Nov
404,iPhone 11 Pro vs Original iPhone!,2019-11-07,4473186,123460,14595,624.0,Nov
405,AirPods Pro Review: Imperfectly Perfect!,2019-11-05,7390240,205623,8763,577.0,Nov
406,Beats Solo Pro: Return to Excellence!,2019-11-01,2544938,75304,3874,418.0,Nov
407,LG G8X Proves Foldables are Coming!,2019-10-31,2711784,73978,5333,595.0,Oct
408,AirPods Pro Unboxing & Impressions!,2019-10-29,10753240,272122,18535,427.0,Oct
409,Google Pixel 4 Review: Inside the Hype Machine!,2019-10-22,5718130,119131,11248,1124.0,Oct
410,OnePlus 7T Pro: Tiny Tweaks to Excellence!,2019-10-18,2609279,71713,3870,397.0,Oct
411,Pixel 4 Impressions: Google and Gaps!,2019-10-16,4346132,118420,15614,605.0,Oct
412,This Is What Happens When You Re-Upload a YouTube Video 1000 Times!,2019-10-11,8345586,342677,19388,904.0,Oct
413,Apple Watch Series 5 Review: One Big Tradeoff!,2019-10-09,4364382,93887,5037,458.0,Oct
414,Talking Tech & Meme Review with Will Smith!,2019-10-08,2956445,155652,8030,1121.0,Oct
415,Talking Tech with Microsoft CEO Satya Nadella!,2019-10-03,2525871,98138,5276,698.0,Oct
416,Hands-on with Microsoft's Future Foldables!,2019-10-02,3254331,92221,7001,437.0,Oct
417,2019 Microsoft Surface Family Impressions!,2019-10-02,3625300,92385,4501,565.0,Oct
418,iPhone 11 Review: Too Easy!,2019-09-30,9133688,207332,13018,490.0,Sep
419,"OnePlus 7T Review: High Refresh, Low Price!",2019-09-26,3631982,93480,6889,605.0,Sep
420,iPhone 11 Pro Review: For the Love of Cameras!,2019-09-20,9012661,193889,16179,943.0,Sep
421,Unboxing Every Green iPhone 11!,2019-09-17,4617712,125712,13786,383.0,Sep
422,Samsung Galaxy Fold Re-do: Everything New!,2019-09-15,7881170,169337,12207,454.0,Sep
423,Asus ROG Phone 2 Review: The Spec King!,2019-09-13,4247944,132887,13216,744.0,Sep
424,iPhone 11 Pro Impressions: What a Name!,2019-09-11,7749481,172611,24968,466.0,Sep
425,iPhone 11 Impressions: A Familiar Sequel!,2019-09-11,4805098,123318,14687,542.0,Sep
426,Dope Tech #20: Dual Screen Tech!,2019-09-06,3367278,87528,4031,1010.0,Sep
427,Let's Talk About Porsche Taycan!,2019-09-05,2807922,94104,9322,766.0,Sep
428,Samsung Galaxy Note 10: But Why Tho?,2019-08-27,4940032,104703,7987,584.0,Aug
429,Samsung Galaxy Note 10+ Review: The Favorite Child!,2019-08-22,5246700,125368,11541,780.0,Aug
430,5G: Explained!,2019-08-19,9470955,260867,31943,669.0,Aug
431,Introducing Waveform: The MKBHD Podcast!,2019-08-13,712499,37565,2385,346.0,Aug
432,Apple Card Unboxing & Impressions!,2019-08-09,8259670,227057,12481,425.0,Aug
433,Samsung Galaxy Note 10/10+ Impressions: A Great Duo!,2019-08-07,7692930,205307,20098,598.0,Aug
434,Redmi K20 Pro Review: Incredible Value!,2019-07-26,4044745,105370,8472,628.0,Jul
435,The Last (and First) Folding Phone!,2019-07-20,9348035,158894,9013,557.0,Jul
436,The iPhone 11 Models!,2019-07-17,3732374,73208,15311,429.0,Jul
437,What's in my Tech Bag! [2019],2019-07-16,4252284,114230,5155,469.0,Jul
438,Boosted Rev: The Tesla of Electric Scooters!,2019-07-11,3714901,83014,5577,466.0,Jul
439,Bose Headphones 700: The King is Back!,2019-07-02,3557987,90338,4407,409.0,Jul
440,The iPad Only Challenge!,2019-06-28,5244354,132131,6479,579.0,Jun
441,PowerBeats Pro Review: Better than AirPods!,2019-06-27,4127875,98850,5342,440.0,Jun
442,OnePlus 7: Way Under the Radar!,2019-06-21,2445215,63864,4029,385.0,Jun
443,The Dream Smartphone! (2019),2019-06-18,2722806,102280,10410,447.0,Jun
444,The Closest Thing to AirPower!,2019-06-12,2027946,65146,1883,366.0,Jun
445,iPad OS Impressions: They Listened!,2019-06-08,5294968,155163,8248,481.0,Jun
446,Top 5 iOS 13 Features!,2019-06-06,5357607,149187,9791,484.0,Jun
447,2019 Mac Pro Impressions: Cheese Grater is Back!,2019-06-04,4258765,115616,15511,616.0,Jun
448,The 2019 iPod Touch: Why Does It Exist?,2019-05-31,8363258,197708,16243,540.0,May
449,Asus ZenFone 6: Swivel Camera Magic!,2019-05-29,2842382,75112,5811,565.0,May
450,Google Pixel 3a Review: A for Ace!,2019-05-24,3639336,87743,5713,541.0,May
451,The Huawei Ban: Explained!,2019-05-22,7616456,205434,35745,655.0,May
452,OnePlus 7 Pro: What You Didn't Know!,2019-05-20,4675967,109362,6054,563.0,May
453,Dope Tech: The Probe Lens!,2019-05-17,6149380,165523,6534,747.0,May
454,OnePlus 7 Pro Review: Silly Fast!,2019-05-14,8808265,209405,17342,833.0,May
455,Google Pixel 3a Impressions: Flips the Script!,2019-05-08,2330276,71819,7780,404.0,May
456,Galaxy Fold vs Huawei Mate X? Ask MKBHD V35!,2019-05-01,1560738,49042,2346,765.0,May
457,Samsung Galaxy Fold Review: We Gotta Talk!,2019-04-26,3835635,97791,8714,921.0,Apr
458,Huawei P30 Pro Review: Optical Excellence!,2019-04-24,3820493,79849,5972,877.0,Apr
459,Retro Tech: Game Boy,2019-04-19,39935981,220251,14492,1429.0,Apr
460,The Broken Galaxy Folds: Explained!,2019-04-18,16798329,338728,30395,589.0,Apr
461,Samsung Galaxy Fold Unboxing: Magnets!,2019-04-16,23300284,355763,11494,305.0,Apr
462,Samsung Galaxy Fold Impressions!,2019-04-15,5234057,120697,11967,541.0,Apr
463,The MKBHD Gear Tour 2019!,2019-04-12,2883460,94432,5369,1214.0,Apr
464,LG G8 Review: Master of None!,2019-04-09,2033455,58879,8309,597.0,Apr
465,This is Google Pixel 4 Ultra!,2019-04-01,3978781,157844,19174,434.0,Apr
466,The Death of AirPower: Explained!,2019-03-30,3478361,111671,7899,447.0,Mar
467,AirPods 2: Literally Everything New!,2019-03-26,6863297,153481,10680,370.0,Mar
468,Huawei P30 Pro Impressions: The Ultimate Camera?,2019-03-26,2064712,64257,4797,472.0,Mar
469,Top 5 Android Q Features!,2019-03-18,2730380,80584,9330,514.0,Mar
470,Tesla Model Y Impressions!,2019-03-15,4465370,117605,5911,450.0,Mar
471,Samsung Galaxy S10e Review: Why Not?,2019-03-12,6260874,140509,11991,434.0,Mar
472,Samsung Galaxy S10+ Review: The Bar is Set!,2019-03-07,6176672,163939,13656,643.0,Mar
473,OnePlus 6T Revisited: Better than Pixel 3?,2019-03-01,2205560,63704,6235,545.0,Mar
474,The Galaxy S10's Incredible Display!,2019-02-26,4614531,127602,9679,553.0,Feb
475,LG G8 Impressions: Can't Touch This!,2019-02-24,3428208,78243,9157,457.0,Feb
476,Countdown to 8 Million!,2019-02-21,0,15,0,0.0,Feb
477,Samsung Galaxy S10 Impressions!,2019-02-20,10935685,234629,24621,619.0,Feb
478,Samsung Galaxy S10E Impressions!,2019-02-20,3439367,83576,8111,294.0,Feb
479,Apollo is Back - My Tesla Repair Process!,2019-02-16,2531071,83324,5334,607.0,Feb
480,via Twitter for iPhone,2019-02-14,3950069,199773,11999,511.0,Feb
481,Talking Tech & Saving the World with Bill Gates!,2019-02-12,5858807,300786,18077,628.0,Feb
482,What's on my Tech: 2019!,2019-02-07,3613265,79010,5026,1110.0,Feb
483,The Samsung Galaxy S10 Model!,2019-02-04,5570388,103278,11107,375.0,Feb
484,Sony WH1000XM3 Review: A New ANC King!,2019-02-01,3550693,95544,6599,473.0,Feb
485,Foldable Phones Aren't Ready (Yet),2019-01-28,1539520,54071,4903,469.0,Jan
486,Behind the Scenes of the UnboxTherapy Studio!,2019-01-26,5552186,218475,9669,656.0,Jan
487,First Look at the Hole-Punch Display!,2019-01-16,3685547,93966,12117,304.0,Jan
488,Riding in a Driverless Taxi at CES 2019!,2019-01-11,4591682,141419,9822,305.0,Jan
489,The Rollable OLED TV: The Potential is Real!,2019-01-09,2638977,78236,3619,237.0,Jan
490,Starting a Podcast? 100% Roadster? Ask MKBHD V34!,2019-01-07,934299,47016,2779,716.0,Jan
491,Xiaomi Mi Mix 3: The Ultimate Slider?,2019-01-03,2327944,75369,6325,359.0,Jan
492,2019 Tech I'm Ready For!,2019-01-01,3560415,100997,9431,473.0,Jan
493,My YouTube REWIND 2018!,2018-12-23,1471172,99141,8608,424.0,Dec
494,Google Pixel Slate: This Ain't It Chief!,2018-12-22,4099962,107689,9942,573.0,Dec
495,Smartphone Awards 2018!,2018-12-19,6145161,199505,22523,951.0,Dec
496,Huawei Mate 20 Pro Review: The People's Choice!,2018-12-15,2583964,68463,7019,565.0,Dec
497,The Problem with YouTube Rewind!,2018-12-12,7731952,373958,34477,671.0,Dec
498,Top 5 McLaren 720S Features! [Auto Focus Ep. 4],2018-12-11,1879411,70616,4057,541.0,Dec
499,The Blind Smartphone Camera Test 2018!,2018-12-04,3039841,128187,17784,1194.0,Dec
500,"Let's Talk About Tesla ""Killers!""",2018-11-30,3302437,105040,9980,579.0,Nov
501,2018 Macbook Air Review: No Risk!,2018-11-29,2856827,66106,5644,423.0,Nov
502,My Favorite Wireless Headphones | 2018!,2018-11-21,3948992,99826,7287,484.0,Nov
503,RIP Apollo (for now),2018-11-19,2739502,87454,9334,399.0,Nov
504,iPad Pro Review: The Best Ever... Still an iPad!,2018-11-15,5458239,118946,9778,674.0,Nov
505,iPhone XR Review: No Need to Panic!,2018-11-12,8090159,170289,16026,625.0,Nov
506,Let's Talk About the Foldable Smartphone!,2018-11-08,3017508,93576,9658,409.0,Nov
507,RED Hydrogen One Review: I Wanted this to be Great!,2018-11-02,3818018,86781,7966,1029.0,Nov
508,2019 iPad Pro Impressions: Incredibly Thin!,2018-10-30,4912437,113423,12159,397.0,Oct
509,"OnePlus 6T Review: New Design, Same Price!",2018-10-29,7400461,144139,15624,510.0,Oct
510,My Pixel 3 Display Problem? Ask MKBHD V33!,2018-10-25,1575127,51268,4954,608.0,Oct
511,RED iPhone XR Unboxing & Giveaway!,2018-10-23,2442509,137689,335963,208.0,Oct
512,Google Pixel 3 XL Review: The Shadow of the Notch!,2018-10-19,3983312,100825,13754,918.0,Oct
513,Huawei Mate 20 Pro Impressions: Underrated?,2018-10-16,2664127,67070,9101,494.0,Oct
514,Pixel 3 XL Second Impression: Notch City!,2018-10-11,2027109,60969,6784,508.0,Oct
515,Razer Phone 2 Impressions!,2018-10-11,2394060,67882,4876,312.0,Oct
516,Google Pixel 3 Impressions!,2018-10-09,5210973,120496,18413,618.0,Oct
517,LG V40 Impressions: 5 Cameras on a Phone?!,2018-10-03,1874423,52879,5319,506.0,Oct
518,"iPhone ""Gates"" Explained!",2018-10-01,2753080,89208,10281,484.0,Oct
519,iPhone Xr Specs Letdown? Ask MKBHD V32!,2018-09-26,1652416,55316,6285,634.0,Sep
520,Apple Watch Series 4 Review: It's About Time!,2018-09-21,5385548,100914,7594,587.0,Sep
521,Apple iPhone Xs Review: A (S)mall Step Up!,2018-09-18,7434828,147170,12790,720.0,Sep
522,Gold iPhone Xs Max Unboxing!,2018-09-18,5165946,101626,7658,242.0,Sep
523,iPhone XR Impressions: All of the Colors!,2018-09-13,4442976,83449,12852,395.0,Sep
524,iPhone Xs and iPhone Xs Max Impressions!,2018-09-13,3179350,76512,9767,365.0,Sep
525,The Truth About the Pocophone F1!,2018-09-10,5620164,131975,12205,572.0,Sep
526,Living with a Supercar! [Auto Focus Ep 3],2018-09-06,2731200,77573,5813,924.0,Sep
527,RED Hydrogen One Unboxing! (Houdini Edition),2018-08-31,2687919,64759,5233,402.0,Aug
528,What's in my Tech Bag! [2018],2018-08-27,3874322,100725,3992,532.0,Aug
529,Is the Pocophone F1 Phone Legit? Matte Black AirPods? Ask MKBHD V31!,2018-08-24,2020139,57316,3175,792.0,Aug
530,Samsung Galaxy Note 9 Review: The Total Package!,2018-08-23,5342513,111005,11870,654.0,Aug
531,Tesla Factory Tour with Elon Musk!,2018-08-20,14314588,412495,19323,920.0,Aug
532,Talking Tech with Elon Musk!,2018-08-18,15318097,559595,27854,1074.0,Aug
533,Samsung Galaxy Note 9 Impressions: Underrated!,2018-08-09,3562531,110190,15343,371.0,Aug
534,The 2019 iPhone X Models!,2018-08-07,3894924,74103,7799,377.0,Aug
535,Prime Picks! - The #1 Headphones on Amazon!,2018-08-03,2427013,57621,5337,655.0,Aug
536,Why I Don't Use the Pixel!,2018-08-01,4491966,112595,15409,559.0,Aug
537,Asus ROG Phone Impressions!,2018-07-25,3810063,98469,9601,611.0,Jul
538,i9 Macbook Pro 2018: Hottest Laptop on the Planet!,2018-07-21,3105262,74018,7241,664.0,Jul
539,Naming the new iPhone X? Ask MKBHD V30!,2018-07-16,1312531,45215,5466,686.0,Jul
540,Prime Picks! - The #1 Unlocked Smartphone on Amazon!,2018-07-13,1989345,59750,8809,588.0,Jul
541,The Truth About Colored Smartphones!,2018-07-05,2109859,69353,3993,376.0,Jul
542,Dear YouTube!,2018-06-29,1419869,79712,4083,395.0,Jun
543,$2400 Headphones? Sennheiser HD 820!,2018-06-27,3045150,90155,6599,549.0,Jun
544,Hot Ones is The Real Deal! Ask MKBHD V29!,2018-06-25,843762,32817,3209,644.0,Jun
545,Oppo Find X: Motorized Madness!,2018-06-22,6205157,90651,6825,401.0,Jun
546,On IGTV and YouTube Competition!,2018-06-21,1156424,54314,3942,522.0,Jun
547,Let's Talk About Smartphone Chins!,2018-06-19,1955176,72670,6060,364.0,Jun
548,Vivo NEX S Impressions: Truly Bezelless?,2018-06-15,2682612,62576,6332,339.0,Jun
549,HTC U12+ Review: A Phone With No Buttons!,2018-06-12,1739659,46620,4195,623.0,Jun
550,Top 5 iOS 12 Features!,2018-06-07,3793020,76534,3934,457.0,Jun
551,Top 5 WWDC 2018 Announcements!,2018-06-05,1258689,59450,3772,690.0,Jun
552,Driving Lamborghini Aventador S! [Auto Focus Ep. 2],2018-06-02,2522122,82867,4772,487.0,Jun
553,OnePlus 6 Review: Right On the Money!,2018-05-25,21949601,113108,9423,712.0,May
554,Top 5 Smartphone Cameras: The Blind Test! [2018],2018-05-21,2166890,63167,24403,450.0,May
555,OnePlus 6 Impressions!,2018-05-16,3167374,82638,6883,370.0,May
556,In-Glass Fingerprint Sensor: Testing the limits!,2018-05-15,2028138,63106,4852,558.0,May
557,Google Pixel 2 Revisited: Android P Beta!,2018-05-11,1980894,65355,4075,570.0,May
558,Let's Talk About Google Duplex!,2018-05-10,2774963,108398,13762,608.0,May
559,The Dream Camera? Ask MKBHD V28 with Peter McKinnon!,2018-05-07,1508439,48659,2292,950.0,May
560,LG G7 ThinQ Impressions!,2018-05-02,2708625,58312,6519,486.0,May
561,iPhone X Revisited: Still Worth $1000?!,2018-04-28,5561938,103810,12588,626.0,Apr
562,Huawei P20 Pro Review: The Triple Camera Smartphone!,2018-04-23,4573708,77537,6307,795.0,Apr
563,$750 Mini Boosted Board Impressions!,2018-04-18,1531917,50278,2239,381.0,Apr
564,Thank You!,2018-04-16,955278,82880,5842,261.0,Apr
565,Pixel 3 Rumors? Ask MKBHD V27!,2018-04-14,1358414,48121,3063,580.0,Apr
566,Product RED iPhone 8 Unboxing!,2018-04-11,2665567,63477,4138,241.0,Apr
567,Dope Tech: Camera Robots!,2018-04-03,5926362,234775,12174,506.0,Apr
568,Bixby Speaker Impressions!,2018-04-01,1792152,133029,13637,387.0,Apr
569,I've Made 1000 Videos?! Ask MKBHD V26!,2018-03-29,846519,48078,3376,679.0,Mar
570,Samsung Galaxy S9 Review: The Perfect... Samsung!,2018-03-20,9113411,150224,14177,726.0,Mar
571,Top 5 Android Pie Features!,2018-03-16,2054726,57272,6821,427.0,Mar
572,The State of Bezels! (2018),2018-03-14,1942929,69040,6588,567.0,Mar
573,Talking Tech with Neil deGrasse Tyson!,2018-03-09,2121767,120864,7329,551.0,Mar
574,The 🍎 Ecosystem: Explained!,2018-03-07,7311122,251202,21399,484.0,Mar
575,18-core iMac Pro Review: Not a Trap!,2018-03-02,2348026,60145,5455,652.0,Mar
576,Samsung Galaxy S9 Camera: What's New!,2018-02-28,1619929,49820,3488,474.0,Feb
577,Samsung Galaxy S9 Impressions!,2018-02-25,4145212,118077,12662,507.0,Feb
578,Creator of the Decade? Tech Backpack? Ask MKBHD V25!,2018-02-22,884066,40601,2095,540.0,Feb
579,The In-Glass Fingerprint Reader: Explained!,2018-02-21,2343657,85076,5518,303.0,Feb
580,Apple HomePod Review: The Dumbest Smart Speaker?,2018-02-16,4474085,99941,7457,581.0,Feb
581,MKBHD Merch Review 2018!,2018-02-13,747425,46859,6480,412.0,Feb
582,Dear Snapchat!,2018-02-08,2644933,120965,8557,464.0,Feb
583,What's On My Phone: 2018!,2018-02-05,2721114,65913,5529,574.0,Feb
584,Huawei Mate 10 Pro: The Real Deal?,2018-02-03,2289706,52041,5926,567.0,Feb
585,Driving a Tesla Model 3! [Auto Focus Ep. 1],2018-01-30,3179171,125099,5251,772.0,Jan
586,Free Tesla Roadster? Ask MKBHD V24!,2018-01-23,1044497,47638,2698,768.0,Jan
587,AirPods for Android?!,2018-01-18,4082268,119414,10219,670.0,Jan
588,Dope Tech of CES 2018! [Part 2],2018-01-14,1654168,54635,2200,444.0,Jan
589,Dope Tech of CES 2018! [Part 1],2018-01-11,1656152,58998,1909,422.0,Jan
590,iMac Pro Setup Tour 2018!,2018-01-04,1632392,64497,3701,568.0,Jan
591,New Year New MKBHD!,2018-01-02,1174839,85481,4190,250.0,Jan
